correlativo_estudiante,nombre_carrera,fecha_inscripcion,anio_inscripcion,sexo,pais_nacionalidad,tipo_inscripcion
760,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-01,2019,M,GUATEMALA,REINGRESO
3064,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-01,2019,M,GUATEMALA,REINGRESO
3302,INGENIERIA INDUSTRIAL,2018-12-01,2019,M,GUATEMALA,REINGRESO
4963,INGENIERIA ELECTRICA,2018-12-01,2019,M,GUATEMALA,REINGRESO
7429,INGENIERIA MECANICA ,2018-12-01,2019,M,GUATEMALA,REINGRESO
8976,INGENIERIA QUIMICA,2018-12-01,2019,M,GUATEMALA,REINGRESO
10223,INGENIERIA INDUSTRIAL,2018-12-01,2019,F,GUATEMALA,REINGRESO
10872,INGENIERIA ELECTRONICA,2018-12-01,2019,F,GUATEMALA,REINGRESO
6324,INGENIERIA QUIMICA,2018-12-02,2019,M,GUATEMALA,REINGRESO
12189,INGENIERIA ELECTRICA,2018-12-02,2019,M,GUATEMALA,REINGRESO
378,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
820,INGENIERIA CIVIL,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
898,INGENIERIA CIVIL,2018-12-03,2019,F,GUATEMALA,REINGRESO
906,INGENIERIA CIVIL,2018-12-03,2019,M,GUATEMALA,REINGRESO
1801,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
1998,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
2418,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
2422,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
2567,INGENIERIA MECANICA ELECTRICA,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
2579,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
2585,INGENIERIA ELECTRONICA,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
2664,INGENIERIA QUIMICA,2018-12-03,2019,F,GUATEMALA,REINGRESO
2825,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,REINGRESO
3000,INGENIERIA MECANICA ELECTRICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
3402,INGENIERIA CIVIL,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
4095,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
4850,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
5578,INGENIERIA QUIMICA,2018-12-03,2019,F,GUATEMALA,REINGRESO
5806,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,REINGRESO
6264,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,REINGRESO
6497,INGENIERIA QUIMICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
7130,INGENIERIA MECANICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
7548,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
7844,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
7865,INGENIERIA ELECTRONICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
8002,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
8839,INGENIERIA QUIMICA,2018-12-03,2019,F,GUATEMALA,REINGRESO
9086,INGENIERIA QUIMICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
9336,INGENIERIA QUIMICA,2018-12-03,2019,F,GUATEMALA,PRIMER INGRESO
9351,INGENIERIA MECANICA ELECTRICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
9410,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
9600,INGENIERIA ELECTRONICA,2018-12-03,2019,M,GUATEMALA,REINGRESO
9600,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
9899,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
10657,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,REINGRESO
11024,INGENIERIA MECANICA ,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
11806,INGENIERIA INDUSTRIAL,2018-12-03,2019,M,GUATEMALA,REINGRESO
11990,INGENIERIA ELECTRICA,2018-12-03,2019,M,GUATEMALA,PRIMER INGRESO
12020,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-03,2019,M,GUATEMALA,REINGRESO
36,INGENIERIA MECANICA ELECTRICA,2018-12-04,2019,M,GUATEMALA,REINGRESO
60,INGENIERIA CIVIL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
157,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,REINGRESO
198,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
355,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
532,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
761,INGENIERIA CIVIL,2018-12-04,2019,M,GUATEMALA,REINGRESO
868,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
1180,INGENIERIA ELECTRONICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
1363,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,REINGRESO
1372,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
1975,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
2186,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
2892,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,REINGRESO
2892,INGENIERIA MECANICA ,2018-12-04,2019,M,GUATEMALA,REINGRESO
2903,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
2937,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,REINGRESO
3268,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,F,GUATEMALA,REINGRESO
3282,INGENIERIA MECANICA ELECTRICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
3490,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
4403,INGENIERIA QUIMICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
4413,INGENIERIA CIVIL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
4415,INGENIERIA MECANICA ,2018-12-04,2019,M,GUATEMALA,REINGRESO
4606,INGENIERIA ELECTRONICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
5032,INGENIERIA QUIMICA,2018-12-04,2019,F,GUATEMALA,PRIMER INGRESO
5682,INGENIERIA ELECTRONICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
5752,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
5889,INGENIERIA CIVIL,2018-12-04,2019,F,GUATEMALA,PRIMER INGRESO
6116,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,F,GUATEMALA,PRIMER INGRESO
6630,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
6667,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
6866,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
6990,INGENIERIA QUIMICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
7048,INGENIERIA MECANICA ,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
7089,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
7103,INGENIERIA ELECTRONICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
7968,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,REINGRESO
8022,INGENIERIA MECANICA ,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
8268,INGENIERIA MECANICA ,2018-12-04,2019,F,GUATEMALA,PRIMER INGRESO
8460,INGENIERIA ELECTRICA,2018-12-04,2019,M,GUATEMALA,REINGRESO
8530,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
8532,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,REINGRESO
8532,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,REINGRESO
9527,INGENIERIA ELECTRICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
9872,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
10171,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
10632,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
10848,INGENIERIA CIVIL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
10852,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
10916,INGENIERIA QUIMICA,2018-12-04,2019,F,GUATEMALA,PRIMER INGRESO
11654,INGENIERIA ELECTRONICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
11760,INGENIERIA EN CIENCIAS Y SISTEMAS,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
11936,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
12547,INGENIERIA MECANICA,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
12727,INGENIERIA INDUSTRIAL,2018-12-04,2019,M,GUATEMALA,PRIMER INGRESO
